time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-01-25T13:54:32.148Z,-11.9224,65.9279,10,4.7,mb,,108,12.596,0.74,us,us7000d34x,2021-01-25T15:13:11.040Z,"Mid-Indian Ridge",earthquake,5.1,1.9,0.102,29,reviewed,us,us
2021-01-25T13:35:27.456Z,37.6994,20.887,27.46,4.6,mb,,58,0.976,0.8,us,us7000d34m,2021-01-26T04:54:20.795Z,"5 km ESE of Lithakiá, Greece",earthquake,5.9,3.1,0.132,19,reviewed,us,us
2021-01-25T11:34:14.208Z,-5.7001,149.0846,203.14,4.5,mb,,85,11.39,0.56,us,us7000d346,2021-01-25T12:04:38.040Z,"75 km NW of Kandrian, Papua New Guinea",earthquake,6.6,9.7,0.1,29,reviewed,us,us
2021-01-25T09:05:54.825Z,23.4746,123.6934,10,4.9,mww,,101,1.168,0.81,us,us7000d33k,2021-01-25T09:32:58.040Z,"107 km SSW of Ishigaki, Japan",earthquake,6.2,1.9,0.083,14,reviewed,us,us
2021-01-25T07:53:22.423Z,-4.548,152.1861,100.14,5.2,mww,,30,0.355,0.7,us,us7000d32y,2021-01-26T07:56:12.577Z,"24 km SSW of Kokopo, Papua New Guinea",earthquake,9.1,4.4,0.093,11,reviewed,us,us
2021-01-25T07:25:35.422Z,23.527,123.6457,10,5.2,mww,,95,1.101,0.68,us,us7000d32v,2021-01-25T18:51:11.576Z,"104 km SSW of Ishigaki, Japan",earthquake,6,1.9,0.068,21,reviewed,us,us
2021-01-24T23:21:41.140Z,18.2516,-64.0708,94,5.4,ml,28,185,1.0163,0.65,pr,pr2021024007,2021-01-28T00:50:19.799Z,"76 km E of Cruz Bay, U.S. Virgin Islands",earthquake,5.45,3.26,0.09,20,reviewed,pr,pr
2021-01-24T21:49:41.843Z,-4.7645,138.5992,87.97,4.6,mb,,128,7.928,0.96,us,us7000d2zs,2021-01-25T00:59:17.040Z,"Papua, Indonesia",earthquake,11,7.9,0.094,34,reviewed,us,us
2021-01-24T21:16:22.033Z,54.4082,-162.0924,35,5.1,mww,,53,0.58,0.95,us,us7000d2zh,2021-01-31T21:26:30.428Z,"74 km S of King Cove, Alaska",earthquake,4,1.9,0.053,34,reviewed,us,us
2021-01-24T20:34:13.761Z,-61.7671,-55.2872,10,4.8,mb,,96,1.661,1.36,us,us7000d2yw,2021-01-24T20:52:15.040Z,"South Shetland Islands",earthquake,6.7,1.9,0.113,24,reviewed,us,us
2021-01-24T19:12:34.936Z,-38.1692,176.3891,6.47,5.2,mww,,65,0.643,1.32,us,us7000d2yf,2021-01-29T01:19:23.747Z,"13 km ESE of Rotorua, New Zealand",earthquake,6.5,6.3,0.098,10,reviewed,us,us
2021-01-24T19:01:22.234Z,37.1675,71.6156,108.8,5.2,mb,,61,3.351,1.02,us,us7000d2ye,2021-01-24T20:01:36.652Z,"36 km S of Khorugh, Tajikistan",earthquake,4.8,7.8,0.072,63,reviewed,us,us
2021-01-24T18:57:01.978Z,-38.0634,176.4366,10,4.6,mb,,71,0.697,1.18,us,us7000d2yi,2021-01-24T20:12:53.159Z,"18 km ENE of Rotorua, New Zealand",earthquake,7,1.9,0.315,4,reviewed,us,us
2021-01-24T18:42:09.158Z,-1.9621,133.5979,45.69,5,mww,,136,1.649,1.13,us,us7000d2yb,2021-01-24T18:57:38.040Z,"132 km SSW of Manokwari, Indonesia",earthquake,10.1,9,0.098,10,reviewed,us,us
